"master_id","last_session_date","total_sessions","avg_session_duration_min","pages_per_session","add_to_cart_rate","purchase_conversion_rate","most_viewed_category","preferred_channel","last_campaign_click"
"cc294636-19f0-11eb-8d74-000d3a38a36f","2020-04-12","6","4.6","3.8","0.18","0.099604014140035","Accessories","web","Email Newsletter"
"f431bd5a-ab7b-11e9-a2fc-000d3a38a36f","2021-03-11","51","5.2","10.8","0.21","0.15","Accessories","mobile_app","SMS Push"
"69b69676-1a40-11ea-941b-000d3a38a36f","2020-09-27","36","10.6","7.1","0.13","0.06","Clothing","email","Google Ads"
"1854e56c-491f-11eb-806e-000d3a38a36f","2020-04-16","13","8","8","0.36","0.1","Bags","web","SMS Push"
"d6ea1074-f1f5-11e9-9346-000d3a38a36f","2020-03-12","47","11","7.9","0.31","0.13","Sportswear","email","SMS Push"
"e585280e-aae1-11e9-a2fc-000d3a38a36f","2020-01-21","9","11.5","6.3","0.06","0.031099744788515","Accessories","mobile_app","Instagram Ads"
"c445e4ee-6242-11ea-9d1a-000d3a38a36f","2020-05-01","35","10.7","6.2","0.2","0.12","Sportswear","mobile_app","Google Ads"
"3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f","2021-04-11","34","11.8","7.8","0.1","0.064926516564263","Sportswear","web","Email Newsletter"
"cfbda69e-5b4f-11ea-aca7-000d3a38a36f","2020-08-02","16","5.9","5","0.27","0.15","Accessories","mobile_app","Google Ads"
"1143f032-440d-11ea-8b43-000d3a38a36f","2020-11-26","18","9.8","7.9","0.22","0.14","Sportswear","mobile_app","Instagram Ads"
"ae608ece-c9d8-11ea-a31e-000d3a38a36f","2021-04-03","18","6.6","6.4","0.33","0.2","Bags","mobile_app","Google Ads"
"c2e15af2-9eed-11e9-9897-000d3a38a36f","2020-03-28","38","4.7","7.2","0.29","0.06","Accessories","mobile_app","None"
"2854f11a-0185-11ea-a5e8-000d3a38a36f","2021-01-07","50","9.4","6.4","0.34","0.13","Sportswear","web","None"
"ec6c382a-3e97-11ea-a823-000d3a38a36f","2020-04-09","43","10.3","4.2","0.36","0.01","Shoes","web","Google Ads"
"241f0ad0-afb5-11e9-9757-000d3a38a36f","2020-05-10","32","7","5.7","0.11","0.07238904673265","Shoes","email","SMS Push"
"13ed97a4-b167-11e9-89fa-000d3a38a36f","2020-11-04","7","8.1","8.4","0.25","0.05","Shoes","mobile_app","None"
"d9b77226-a509-11e9-a2fc-000d3a38a36f","2020-12-09","23","10.1","7.3","0.11","0.071826967536425","Bags","mobile_app","Google Ads"
"efb82ba4-aaba-11e9-a2fc-000d3a38a36f","2021-05-06","23","6.2","8.2","0.14","0.1","Bags","web","None"
"1ee5ae66-7237-11eb-aa44-000d3a38a36f","2021-02-17","46","10.4","7.9","0.13","0.12","Sportswear","web","Google Ads"
"2730793e-3908-11ea-85d6-000d3a38a36f","2021-01-20","18","5.3","4.9","0.17","0.02","Sportswear","email","Email Newsletter"
